unique.id,time.sampled,elapsed.time.hrs
stn4-d1-bulk-ara-1-t0,4/28/15 18:21,0
stn4-d1-bulk-ara-1-t1,4/30/15 11:01,40.66666667
stn4-d1-bulk-ara-1-t2,5/3/15 9:38,111.2833333
stn4-d1-bulk-ara-1-t3,5/8/15 12:03,233.7
stn4-d1-bulk-ara-1-t4,5/14/15 15:35,381.2333333
stn4-d1-bulk-ara-1-t5,5/28/15 13:29,715.1333333
stn4-d1-bulk-ara-1-t6,7/7/15 11:34,1673.216667
stn4-d1-bulk-ara-2-t0,4/28/15 18:21,0
stn4-d1-bulk-ara-2-t1,4/30/15 11:01,40.66666667
stn4-d1-bulk-ara-2-t2,5/3/15 9:38,111.2833333
stn4-d1-bulk-ara-2-t3,5/8/15 12:03,233.7
stn4-d1-bulk-ara-2-t4,5/14/15 15:35,381.2333333
stn4-d1-bulk-ara-2-t5,5/28/15 13:29,715.1333333
stn4-d1-bulk-ara-2-t6,7/7/15 11:34,1673.216667
stn4-d1-bulk-ara-3-t0,4/28/15 18:21,0
stn4-d1-bulk-ara-3-t1,4/30/15 11:01,40.66666667
stn4-d1-bulk-ara-3-t2,5/3/15 9:38,111.2833333
stn4-d1-bulk-ara-3-t3,5/8/15 12:03,233.7
stn4-d1-bulk-ara-3-t4,5/14/15 15:35,381.2333333
stn4-d1-bulk-ara-3-t5,5/28/15 13:29,715.1333333
stn4-d1-bulk-ara-3-t6,7/7/15 11:34,1673.216667
stn4-d1-bulk-ara-x-t0,4/28/15 18:21,0
stn4-d1-bulk-ara-x-t1,4/30/15 11:01,40.66666667
stn4-d1-bulk-ara-x-t2,5/3/15 9:38,111.2833333
stn4-d1-bulk-ara-x-t3,5/8/15 12:03,233.7
stn4-d1-bulk-ara-x-t4,5/14/15 15:35,381.2333333
stn4-d1-bulk-ara-x-t5,5/28/15 13:29,715.1333333
stn4-d1-bulk-ara-x-t6,7/7/15 11:34,1673.216667
stn4-d1-bulk-chon-1-t0,4/28/15 18:21,0
stn4-d1-bulk-chon-1-t1,4/30/15 11:01,40.66666667
stn4-d1-bulk-chon-1-t2,5/3/15 9:38,111.2833333
stn4-d1-bulk-chon-1-t3,5/8/15 12:03,233.7
stn4-d1-bulk-chon-1-t4,5/14/15 15:35,381.2333333
stn4-d1-bulk-chon-1-t5,5/28/15 13:29,715.1333333
stn4-d1-bulk-chon-1-t6,7/7/15 11:34,1673.216667
stn4-d1-bulk-chon-2-t0,4/28/15 18:21,0
stn4-d1-bulk-chon-2-t1,4/30/15 11:01,40.66666667
stn4-d1-bulk-chon-2-t2,5/3/15 9:38,111.2833333
stn4-d1-bulk-chon-2-t3,5/8/15 12:03,233.7
stn4-d1-bulk-chon-2-t4,5/14/15 15:35,381.2333333
stn4-d1-bulk-chon-2-t5,5/28/15 13:29,715.1333333
stn4-d1-bulk-chon-2-t6,7/7/15 11:34,1673.216667
stn4-d1-bulk-chon-3-t0,4/28/15 18:21,0
stn4-d1-bulk-chon-3-t1,4/30/15 11:01,40.66666667
stn4-d1-bulk-chon-3-t2,5/3/15 9:38,111.2833333
stn4-d1-bulk-chon-3-t3,5/8/15 12:03,233.7
stn4-d1-bulk-chon-3-t4,5/14/15 15:35,381.2333333
stn4-d1-bulk-chon-3-t5,5/28/15 13:29,715.1333333
stn4-d1-bulk-chon-3-t6,7/7/15 11:34,1673.216667
stn4-d1-bulk-chon-x-t0,4/28/15 18:21,0
stn4-d1-bulk-chon-x-t1,4/30/15 11:01,40.66666667
stn4-d1-bulk-chon-x-t2,5/3/15 9:38,111.2833333
stn4-d1-bulk-chon-x-t3,5/8/15 12:03,233.7
stn4-d1-bulk-chon-x-t4,5/14/15 15:35,381.2333333
stn4-d1-bulk-chon-x-t5,5/28/15 13:29,715.1333333
stn4-d1-bulk-chon-x-t6,7/7/15 11:34,1673.216667
stn4-d1-GF-fuc-1-t0,4/29/15 13:00,0
stn4-d1-GF-fuc-1-t1,5/1/15 12:40,47.66666667
stn4-d1-GF-fuc-1-t2,5/3/15 11:07,94.11666667
stn4-d1-GF-fuc-1-t3,5/9/15 19:03,246.05
stn4-d1-GF-fuc-1-t4,5/16/15 12:15,407.25
stn4-d1-GF-fuc-1-t5,5/29/15 11:20,718.3333333
stn4-d1-GF-fuc-2-t0,4/29/15 13:00,0
stn4-d1-GF-fuc-2-t1,5/1/15 12:40,47.66666667
stn4-d1-GF-fuc-2-t2,5/3/15 11:07,94.11666667
stn4-d1-GF-fuc-2-t3,5/9/15 19:03,246.05
stn4-d1-GF-fuc-2-t4,5/16/15 12:15,407.25
stn4-d1-GF-fuc-2-t5,5/29/15 11:20,718.3333333
stn4-d1-GF-fuc-x-t0,4/29/15 13:00,0
stn4-d1-GF-fuc-x-t1,5/1/15 12:40,47.66666667
stn4-d1-GF-fuc-x-t2,5/3/15 11:07,94.11666667
stn4-d1-GF-fuc-x-t3,5/9/15 19:03,246.05
stn4-d1-GF-fuc-x-t4,5/16/15 12:15,407.25
stn4-d1-GF-fuc-x-t5,5/29/15 11:20,718.3333333
stn4-d1-GF-lam-1-t0,4/29/15 13:00,0
stn4-d1-GF-lam-1-t1,5/1/15 12:40,47.66666667
stn4-d1-GF-lam-1-t2,5/3/15 11:07,94.11666667
stn4-d1-GF-lam-1-t3,5/9/15 19:03,246.05
stn4-d1-GF-lam-1-t4,5/16/15 12:15,407.25
stn4-d1-GF-lam-1-t5,5/29/15 11:20,718.3333333
stn4-d1-GF-lam-2-t0,4/29/15 13:00,0
stn4-d1-GF-lam-2-t1,5/1/15 12:40,47.66666667
stn4-d1-GF-lam-2-t2,5/3/15 11:07,94.11666667
stn4-d1-GF-lam-2-t3,5/9/15 19:03,246.05
stn4-d1-GF-lam-2-t4,5/16/15 12:15,407.25
stn4-d1-GF-lam-2-t5,5/29/15 11:20,718.3333333
stn4-d1-GF-lam-x-t0,4/29/15 13:00,0
stn4-d1-GF-lam-x-t1,5/1/15 12:40,47.66666667
stn4-d1-GF-lam-x-t2,5/3/15 11:07,94.11666667
stn4-d1-GF-lam-x-t3,5/9/15 19:03,246.05
stn4-d1-GF-lam-x-t4,5/16/15 12:15,407.25
stn4-d1-GF-lam-x-t5,5/29/15 11:20,718.3333333
stn4-d2-bulk-pul-1-t0,4/28/15 15:23,0
stn4-d2-bulk-pul-1-t1,4/30/15 11:14,43.85
stn4-d2-bulk-pul-1-t2,5/3/15 9:30,114.1166667
stn4-d2-bulk-pul-1-t3,5/8/15 12:03,236.6666667
stn4-d2-bulk-pul-1-t4,5/14/15 16:08,384.75
stn4-d2-bulk-pul-2-t0,4/28/15 15:23,0
stn4-d2-bulk-pul-2-t1,4/30/15 11:14,43.85
stn4-d2-bulk-pul-2-t2,5/3/15 9:30,114.1166667
stn4-d2-bulk-pul-2-t3,5/8/15 12:03,236.6666667
stn4-d2-bulk-pul-2-t4,5/14/15 16:08,384.75
stn4-d2-bulk-pul-3-t0,4/28/15 15:23,0
stn4-d2-bulk-pul-3-t1,4/30/15 11:14,43.85
stn4-d2-bulk-pul-3-t2,5/3/15 9:30,114.1166667
stn4-d2-bulk-pul-3-t3,5/8/15 12:03,236.6666667
stn4-d2-bulk-pul-3-t4,5/14/15 16:08,384.75
stn4-d2-bulk-pul-x-t0,4/28/15 15:23,0
stn4-d2-bulk-pul-x-t1,4/30/15 11:14,43.85
stn4-d2-bulk-pul-x-t2,5/3/15 9:30,114.1166667
stn4-d2-bulk-pul-x-t3,5/8/15 12:03,236.6666667
stn4-d2-bulk-pul-x-t4,5/14/15 16:08,384.75
stn4-d2-GF-pul-1-t0,4/29/15 11:00,0
stn4-d2-GF-pul-1-t1,5/1/15 13:03,50.05
stn4-d2-GF-pul-1-t2,5/3/15 11:31,96.51666667
stn4-d2-GF-pul-1-t3,5/9/15 18:50,247.8333333
stn4-d2-GF-pul-1-t4,5/16/15 12:26,409.4333333
stn4-d2-GF-pul-1-t5,5/29/15 11:37,720.6166667
stn4-d2-GF-pul-2-t0,4/29/15 11:00,0
stn4-d2-GF-pul-2-t1,5/1/15 13:03,50.05
stn4-d2-GF-pul-2-t2,5/3/15 11:31,96.51666667
stn4-d2-GF-pul-2-t3,5/9/15 18:50,247.8333333
stn4-d2-GF-pul-2-t4,5/16/15 12:26,409.4333333
stn4-d2-GF-pul-2-t5,5/29/15 11:37,720.6166667
stn4-d2-GF-pul-x-t0,4/29/15 11:00,0
stn4-d2-GF-pul-x-t1,5/1/15 13:03,50.05
stn4-d2-GF-pul-x-t2,5/3/15 11:31,96.51666667
stn4-d2-GF-pul-x-t3,5/9/15 18:50,247.8333333
stn4-d2-GF-pul-x-t4,5/16/15 12:26,409.4333333
stn4-d2-GF-pul-x-t5,5/29/15 11:37,720.6166667
stn4-d2-GF-xyl-1-t0,4/29/15 11:00,0
stn4-d2-GF-xyl-1-t1,5/1/15 13:03,50.05
stn4-d2-GF-xyl-1-t2,5/3/15 11:31,96.51666667
stn4-d2-GF-xyl-1-t3,5/9/15 18:50,247.8333333
stn4-d2-GF-xyl-1-t4,5/16/15 12:26,409.4333333
stn4-d2-GF-xyl-1-t5,5/29/15 11:37,720.6166667
stn4-d2-GF-xyl-2-t0,4/29/15 11:00,0
stn4-d2-GF-xyl-2-t1,5/1/15 13:03,50.05
stn4-d2-GF-xyl-2-t2,5/3/15 11:31,96.51666667
stn4-d2-GF-xyl-2-t3,5/9/15 18:50,247.8333333
stn4-d2-GF-xyl-2-t4,5/16/15 12:26,409.4333333
stn4-d2-GF-xyl-2-t5,5/29/15 11:37,720.6166667
stn4-d2-GF-xyl-x-t0,4/29/15 11:00,0
stn4-d2-GF-xyl-x-t1,5/1/15 13:03,50.05
stn4-d2-GF-xyl-x-t2,5/3/15 11:31,96.51666667
stn4-d2-GF-xyl-x-t3,5/9/15 18:50,247.8333333
stn4-d2-GF-xyl-x-t4,5/16/15 12:26,409.4333333
stn4-d2-GF-xyl-x-t5,5/29/15 11:37,720.6166667
