,std.ref,addend,rate.x.nM.hr,rate.1.nM.hr,rate.2.nM.hr,rate.3.nM.hr,mean.rate.nM.hr,sd.rate.nM.hr,kcrate.x.nM.hr,kcrate.1.nM.hr,kcrate.2.nM.hr,kcrate.3.nM.hr,mean.kcrate.nM.hr,sd.kcrate.nM.hr
stn4-d1-bulk-ara-t0,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stn4-d1-bulk-ara-t1,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stn4-d1-bulk-ara-t2,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stn4-d1-bulk-ara-t3,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stn4-d1-bulk-ara-t4,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stn4-d1-bulk-ara-t5,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stn4-d1-bulk-ara-t6,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stn4-d1-bulk-chon-t0,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stn4-d1-bulk-chon-t1,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stn4-d1-bulk-chon-t2,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stn4-d1-bulk-chon-t3,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stn4-d1-bulk-chon-t4,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stn4-d1-bulk-chon-t5,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stn4-d1-bulk-chon-t6,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stn4-d1-GF-fuc-t0,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stn4-d1-GF-fuc-t1,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stn4-d1-GF-fuc-t2,stdbins-gpc2-052715,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
