,rate.x.nM.hr,rate.1.nM.hr,rate.2.nM.hr,mean.rate.nM.hr,sd.rate.nM.hr,kcrate.x.nM.hr,kcrate.1.nM.hr,kcrate.2.nM.hr,mean.kcrate.nM.hr,sd.kcrate.nM.hr
stn4-d1-GF-fuc-t0,0,0,0,0,0,0,0,0,0,0
stn4-d1-GF-fuc-t1,0.000962330879056327,0.00171712885196981,0.108836501378987,0.0552768151154786,0.075744834710302,0,0.000754797972913483,0.107874170499931,0.0543144842364222,0.075744834710302
stn4-d1-GF-fuc-t2,0.0533434252855759,0.0786572022851088,0.00164579685525567,0.0401514995701822,0.0544552870081556,0,0.0253137769995329,0,0.0126568884997665,0.0178995433738138
stn4-d1-GF-fuc-t3,0.000897686016111823,0.0407266313653222,0.0357997255125535,0.0382631784389379,0.00348384853876043,0,0.0398289453492104,0.0349020394964417,0.037365492422826,0.00348384853876043
stn4-d1-GF-fuc-t4,0.00652760322359711,0.0144265489632059,0.0261138108243412,0.0202701798937735,0.00826414211551169,0,0.00789894573960878,0.0195862076007441,0.0137425766701764,0.00826414211551169
stn4-d1-GF-fuc-t5,0.00411111644267208,0.0155875850690275,0.00497363947647251,0.01028061227275,0.00750519290364067,0,0.0114764686263554,0.000862523033800429,0.0061694958300779,0.00750519290364067
stn4-d1-GF-lam-t0,0,0,0,0,0,0,0,0,0,0
stn4-d1-GF-lam-t1,0.0150828816585655,0.137045207945709,0.0782323139228763,0.107638760934293,0.041586996184751,0,0.121962326287144,0.0631494322643108,0.0925558792757274,0.041586996184751
stn4-d1-GF-lam-t2,0.00124789276225239,0.44283127143786,0.465440530072157,0.454135900755009,0.015987160097912,0,0.441583378675608,0.464192637309905,0.452888007992756,0.015987160097912
stn4-d1-GF-lam-t3,0.000120797239128919,0.272372034365758,0.265768327236777,0.269070180801267,0.00466952609187277,0,0.272251237126629,0.265647529997648,0.268949383562138,0.00466952609187277
stn4-d1-GF-lam-t4,0.000759815795656647,0.175290498840444,0.177206363091613,0.176248430966028,0.00135472060383444,0,0.174530683044787,0.176446547295956,0.175488615170371,0.00135472060383444
stn4-d1-GF-lam-t5,0.0126614716122518,0.113308260932604,0.109981810672855,0.11164503580273,0.00235215553594882,0,0.100646789320353,0.0973203390606028,0.0989835641904777,0.00235215553594882
stn4-d2-GF-pul-t0,0,0,0,0,0,0,0,0,0,0
stn4-d2-GF-pul-t1,0.0757036823027183,0.00162071558827993,0.0471117083929795,0.0243662119906297,0.0321669894951115,0,0,0,0,0
stn4-d2-GF-pul-t2,0,0.0160088116660473,0.0206090522625877,0.0183089319643175,0.0032528613209034,0,0.0160088116660473,0.0206090522625877,0.0183089319643175,0.0032528613209034
stn4-d2-GF-pul-t3,0.000621240603666096,0.0322576210732171,0.0361981891777979,0.0342279051255075,0.0027864024284765,0,0.031636380469551,0.0355769485741318,0.0336066645218414,0.0027864024284765
stn4-d2-GF-pul-t4,2.10011130085744e-05,0.0239294146615699,0.0270393358196666,0.0254843752406183,0.00219904633984568,0,0.0239084135485614,0.027018334706658,0.0254633741276097,0.00219904633984568
stn4-d2-GF-pul-t5,0.00247550241730945,0.0182413238282953,0.0202030892386529,0.0192222065334741,0.00138717762476104,0,0.0157658214109859,0.0177275868213434,0.0167467041161646,0.00138717762476104
stn4-d2-GF-xyl-t0,0,0,0,0,0,0,0,0,0,0
stn4-d2-GF-xyl-t1,0.00307092323632362,0.0103358281276867,0.0136278258028139,0.0119818269652503,0.00232779387973276,0,0.00726490489136309,0.0105569025664902,0.00891090372892667,0.00232779387973276
stn4-d2-GF-xyl-t2,0.00507845650592982,0.0212528584710247,0.0413215768466622,0.0312872176588435,0.0141907268531364,0,0.0161744019650949,0.0362431203407324,0.0262087611529136,0.0141907268531364
