,rate.x.nM.hr,rate.1.nM.hr,rate.2.nM.hr,rate.3.nM.hr,mean.rate.nM.hr,sd.rate.nM.hr,kcrate.x.nM.hr,kcrate.1.nM.hr,kcrate.2.nM.hr,kcrate.3.nM.hr,mean.kcrate.nM.hr,sd.kcrate.nM.hr
stn1-d1-bulk-chon-t0,0,0,0,0,0,0,0,0,0,0,0,0
stn1-d1-bulk-chon-t1,5.14125836197433,3.04980861866995,0.06535552466209,4.78750505519428,2.63422306617544,2.38834829134236,0,0,0,0,0,0
stn1-d1-bulk-chon-t2,1.99236309452642,17.1061012048778,14.4079905234089,15.6016746647015,15.7052554643294,1.35203441113855,0,15.1137381103514,12.4156274288825,13.6093115701751,13.712892369803,1.35203441113855
stn1-d1-bulk-chon-t3,1.14227658756689,10.1511598898721,8.7774677495429,9.105550478354,9.34472603925635,0.717398937691082,0,9.00888330230525,7.63519116197601,7.96327389078711,8.20244945168946,0.717398937691082
stn1-d1-bulk-chon-t4,0.829144021997947,6.01837390663327,5.79353564352352,5.90995475932091,5.90728810315923,0.112442849620885,0,5.18922988463532,4.96439162152558,5.08081073732296,5.07814408116128,0.112442849620885
stn1-d1-bulk-chon-t5,0.527576008491486,3.84715633034743,3.91603822219938,4.03901073472287,3.9340684290899,0.0971897339740677,0,3.31958032185594,3.3884622137079,3.51143472623139,3.40649242059841,0.0971897339740677
stn1-d1-bulk-chon-t6,0.276470043774804,1.94345365957269,1.85843953498583,1.90849896066137,1.90346405173996,0.0427301190696071,0,1.66698361579789,1.58196949121102,1.63202891688657,1.62699400796516,0.0427301190696072
stn1-d1-bulk-lam-t0,0,0,0,0,0,0,0,0,0,0,0,0
stn1-d1-bulk-lam-t1,1.02033917937592,0.245429164245249,0.823272027011345,0.526161040039351,0.531620743765315,0.288960117985183,0,0,0,0,0,0
stn1-d1-bulk-lam-t2,0.347523447016098,0.643540364123035,0.782337671864218,0.576968339394488,0.66761545846058,0.104779999548038,0,0.296016917106937,0.434814224848119,0.22944489237839,0.320092011444482,0.104779999548038
stn1-d1-bulk-lam-t3,0.147653444418296,3.73876420332771,3.00289686278917,2.79398132359845,3.17854746323844,0.496279681768274,0,3.59111075890941,2.85524341837088,2.64632787918015,3.03089401882015,0.496279681768274
stn1-d1-bulk-lam-t4,2.70019167703956,2.70385454889233,2.98073185800758,3.10898376604784,2.93119005764925,0.207058477574131,0,0.00366287185277203,0.280540180968021,0.408792089008278,0.23099838060969,0.207058477574131
stn1-d1-bulk-lam-t5,2.09162678097956,2.19496892981156,2.25588269480138,2.23973600956115,2.23019587805803,0.0315576024617097,0,0.103342148832,0.164255913821816,0.148109228581593,0.13856909707847,0.0315576024617097
stn1-d1-bulk-lam-t6,0.983148719581489,1.20232576661782,1.22880300675991,1.22133102286091,1.21748659874621,0.0136508519501829,0,0.219177047036327,0.245654287178424,0.23818230327942,0.234337879164723,0.0136508519501829
stn1-d1-bulk-pul-t0,0,0,0,0,0,0,0,0,0,0,0,0
stn1-d1-bulk-pul-t1,1.37772133136014,0.0174129652362003,6.924517650902,4.23950161405648,3.72714407673156,3.48194004388744,0,0,5.54679631954186,2.86178028269634,2.80285886741274,2.77386754415294
stn1-d1-bulk-pul-t2,0.309941079782089,0.0194713491726612,1.48506968769063,3.18654904478672,1.56369669388334,1.58500218835531,0,0,1.17512860790854,2.87660796500463,1.35057885763772,1.44630751871085
stn1-d1-bulk-pul-t3,0.106092072231618,0.103976784452318,0.935906927863428,2.53271047489419,1.19086472906998,1.23427689157211,0,0,0.82981485563181,2.42661840266257,1.08547775276479,1.23334579731841
stn1-d1-bulk-pul-t4,0.0726432732854932,0.132858203289905,0.52508219597959,0.55500243472753,0.404314277999008,0.235563379038506,0,0.0602149300044123,0.452438922694097,0.482359161442036,0.331671004713515,0.235563379038506
stn1-d1-bulk-pul-t5,0.171661693752543,0.0839068591100968,0.297663232670854,0.439389446998247,0.273653179593066,0.178953428465377,0,0,0.126001538918311,0.267727753245703,0.131243097388005,0.133940818706963
stn1-d1-bulk-pul-t6,0.0646175104368441,0.109513288428434,0.393622329413547,0.563565414622046,0.355567010821342,0.229405729614804,0,0.0448957779915899,0.329004818976702,0.498947904185202,0.290949500384498,0.229405729614804
stn1-d1-bulk-xyl-t0,0,0,0,0,0,0,0,0,0,0,0,0
stn1-d1-bulk-xyl-t1,3.21975936923116,19.3071788150298,0.920386207213067,0.0213867203698613,6.7496505808709,10.884424033136,0,16.0874194457986,0,0,5.36247314859954,9.28807594759825
stn1-d1-bulk-xyl-t2,0.482397526750302,5.82742982695048,0.0410937164534818,0.118904206192536,1.9958092498655,3.31850882221732,0,5.34503230020018,0,0,1.78167743340006,3.08595583734782
stn1-d1-bulk-xyl-t3,0.625234155612838,3.94009692942437,0.263634802615771,0.298743353464274,1.50082502850147,2.11254436818726,0,3.31486277381154,0,0,1.10495425793718,1.91383691478676
stn1-d1-bulk-xyl-t4,0.362662225309215,3.56610735749411,0.812200303640839,1.04263061687075,1.8069794260019,1.52780000059918,0,3.20344513218489,0.449538078331624,0.679968391561538,1.44431720069268,1.52780000059918
stn1-d1-bulk-xyl-t5,0.00648506789176301,2.96623640626039,1.7842986243971,1.74396850909948,2.16483451325232,0.694327282437944,0,2.95975133836862,1.77781355650534,1.73748344120772,2.15834944536056,0.694327282437944
stn1-d1-bulk-xyl-t6,0.120088917490916,1.58492967523961,0.898120549394176,0.736159918003232,1.07307004754567,0.450619596086734,0,1.4648407577487,0.778031631903261,0.616071000512316,0.952981130054758,0.450619596086734
stn1-d2-bulk-chon-t0,0,0,0,0,0,0,0,0,0,0,0,0
stn1-d2-bulk-chon-t1,0.0165721680904161,0.382787395791092,0.0763807321994358,4.72467902431258,1.7279490507677,2.59976232791193,0,0.366215227700676,0.0598085641090197,4.70810685622217,1.71137688267729,2.59976232791193
stn1-d2-bulk-chon-t2,1.02705861037811,2.19307552079085,0.115220366057554,3.38187845446122,1.89672478043654,1.65336976735838,0,1.16601691041275,0,2.35481984408311,1.17361225149862,1.17742829566244
stn1-d2-bulk-chon-t3,0.436668546243376,11.0663241975627,8.37158143559449,10.1083546506612,9.84875342793945,1.36599935374216,0,10.6296556513193,7.93491288935111,9.67168610441778,9.41208488169608,1.36599935374216
stn1-d2-bulk-chon-t4,0.422914777726292,6.88173857872105,5.26405941994635,6.28132999240536,6.14237599702425,0.817742395139069,0,6.45882380099476,4.84114464222006,5.85841521467907,5.71946121929796,0.817742395139069
stn1-d2-bulk-chon-t5,0.139887807750267,4.02675734235017,3.33983504031104,3.701619530174,3.68940397094507,0.343624034629624,0,3.8868695345999,3.19994723256077,3.56173172242374,3.5495161631948,0.343624034629624
stn1-d2-bulk-chon-t6,0.0891848249866476,1.98180474136859,1.69309657358855,1.94014926868285,1.87168352788,0.156056944041239,0,1.89261991638194,1.6039117486019,1.85096444369621,1.78249870289335,0.156056944041239
stn1-d2-bulk-lam-t0,0,0,0,0,0,0,0,0,0,0,0,0
stn1-d2-bulk-lam-t1,0.710626881005912,5.13038902862483,0.286289646276427,0.877590996993068,2.09808989063144,2.64263842940089,0,4.41976214761892,0,0.166964115987156,1.52890875453536,2.50494396329217
stn1-d2-bulk-lam-t2,0.275189860305747,0.752908449211176,0.45006886301757,0.583250356753275,0.595409222994007,0.151785481066779,0,0.477718588905428,0.174879002711823,0.308060496447528,0.32021936268826,0.151785481066779
stn1-d2-bulk-lam-t3,0.19591214149474,2.93218276502288,2.54214318163029,2.70294281129273,2.72575625264863,0.196018006782897,0,2.73627062352814,2.34623104013555,2.50703066979799,2.52984411115389,0.196018006782897
stn1-d2-bulk-lam-t4,0.146839372054391,3.19757583656696,4.21218170515134,5.02351182894581,4.1444231235547,0.914851890253894,0,3.05073646451257,4.06534233309695,4.87667245689141,3.99758375150031,0.914851890253894
stn1-d2-bulk-lam-t5,0.0972683694501289,2.23411093447865,2.62556332910955,2.60119587962578,2.48695671440466,0.219309563102886,0,2.13684256502852,2.52829495965942,2.50392751017565,2.38968834495453,0.219309563102886
