"","mean.kcrate.nM.hr","sd.kcrate.nM.hr","stn","depthid","site","expt","substrate","timepoint"
"stn1-d1-bulk-ara-t3",0.16,0.09,"1","d1","1.d1","bulk","ara","t3"
"stn1-d1-bulk-chon-t2",13.71,1.35,"1","d1","1.d1","bulk","chon","t2"
"stn1-d1-bulk-fuc-t1",3.56,6.16,"1","d1","1.d1","bulk","fuc","t1"
"stn1-d1-bulk-lam-t3",3.03,0.5,"1","d1","1.d1","bulk","lam","t3"
"stn1-d1-bulk-pul-t1",2.8,2.77,"1","d1","1.d1","bulk","pul","t1"
"stn1-d1-bulk-xyl-t1",5.36,9.29,"1","d1","1.d1","bulk","xyl","t1"
"stn1-d2-bulk-ara-t6",1.33,0.09,"1","d2","1.d2","bulk","ara","t6"
"stn1-d2-bulk-chon-t3",9.41,1.37,"1","d2","1.d2","bulk","chon","t3"
"stn1-d2-bulk-fuc-t2",1.47,1.26,"1","d2","1.d2","bulk","fuc","t2"
"stn1-d2-bulk-lam-t4",4,0.91,"1","d2","1.d2","bulk","lam","t4"
"stn1-d2-bulk-pul-t1",6.67,8.32,"1","d2","1.d2","bulk","pul","t1"
"stn1-d2-bulk-xyl-t3",4.46,0.93,"1","d2","1.d2","bulk","xyl","t3"
"stn2-d1-bulk-ara-t1",0.56,0.5,"2","d1","2.d1","bulk","ara","t1"
"stn2-d1-bulk-chon-t1",22.21,19.23,"2","d1","2.d1","bulk","chon","t1"
"stn2-d1-bulk-fuc-t3",1.11,0.89,"2","d1","2.d1","bulk","fuc","t3"
"stn2-d1-bulk-lam-t3",4.18,0.82,"2","d1","2.d1","bulk","lam","t3"
"stn2-d1-bulk-pul-t1",9.64,10.35,"2","d1","2.d1","bulk","pul","t1"
"stn2-d1-bulk-xyl-t2",3.59,0.5,"2","d1","2.d1","bulk","xyl","t2"
"stn2-d2-bulk-ara-t6",0.98,0.09,"2","d2","2.d2","bulk","ara","t6"
"stn2-d2-bulk-chon-t1",29.4,25.19,"2","d2","2.d2","bulk","chon","t1"
"stn2-d2-bulk-fuc-t1",3.48,6.03,"2","d2","2.d2","bulk","fuc","t1"
"stn2-d2-bulk-lam-t2",12.01,1.3,"2","d2","2.d2","bulk","lam","t2"
"stn2-d2-bulk-pul-t2",0.38,0.57,"2","d2","2.d2","bulk","pul","t2"
"stn2-d2-bulk-xyl-t2",10.25,1.68,"2","d2","2.d2","bulk","xyl","t2"
"stn3-d1-bulk-ara-t1",0.74,0.08,"3","d1","3.d1","bulk","ara","t1"
"stn3-d1-bulk-chon-t2",13.94,1.02,"3","d1","3.d1","bulk","chon","t2"
"stn3-d1-bulk-fuc-t1",7.18,5.89,"3","d1","3.d1","bulk","fuc","t1"
"stn3-d1-bulk-lam-t3",4.17,0.05,"3","d1","3.d1","bulk","lam","t3"
"stn3-d1-bulk-pul-t1",7.28,8.61,"3","d1","3.d1","bulk","pul","t1"
"stn3-d1-bulk-xyl-t5",1.35,0.33,"3","d1","3.d1","bulk","xyl","t5"
"stn3-d2-bulk-ara-t6",1.33,0.17,"3","d2","3.d2","bulk","ara","t6"
"stn3-d2-bulk-chon-t2",16.36,0.82,"3","d2","3.d2","bulk","chon","t2"
"stn3-d2-bulk-fuc-t5",3.61,0.68,"3","d2","3.d2","bulk","fuc","t5"
"stn3-d2-bulk-lam-t2",9.13,0.62,"3","d2","3.d2","bulk","lam","t2"
"stn3-d2-bulk-pul-t2",2.34,2.88,"3","d2","3.d2","bulk","pul","t2"
"stn3-d2-bulk-xyl-t3",9.56,0.03,"3","d2","3.d2","bulk","xyl","t3"
"stn4-d1-bulk-ara-t1",0.76,0.64,"4","d1","4.d1","bulk","ara","t1"
"stn4-d1-bulk-chon-t3",8.46,0.52,"4","d1","4.d1","bulk","chon","t3"
"stn4-d1-bulk-fuc-t5",0.09,0.16,"4","d1","4.d1","bulk","fuc","t5"
"stn4-d1-bulk-lam-t3",5.08,1.02,"4","d1","4.d1","bulk","lam","t3"
"stn4-d1-bulk-pul-t2",5.46,2.38,"4","d1","4.d1","bulk","pul","t2"
"stn4-d1-bulk-xyl-t4",2.14,0.72,"4","d1","4.d1","bulk","xyl","t4"
"stn4-d2-bulk-ara-t6",1.12,0.14,"4","d2","4.d2","bulk","ara","t6"
"stn4-d2-bulk-chon-t2",17.56,1.28,"4","d2","4.d2","bulk","chon","t2"
"stn4-d2-bulk-fuc-t5",3.23,0.3,"4","d2","4.d2","bulk","fuc","t5"
"stn4-d2-bulk-lam-t2",14.08,1.9,"4","d2","4.d2","bulk","lam","t2"
"stn4-d2-bulk-pul-t1",7.04,2.83,"4","d2","4.d2","bulk","pul","t1"
"stn4-d2-bulk-xyl-t3",3.96,1.52,"4","d2","4.d2","bulk","xyl","t3"
"stn5-d1-bulk-ara-t1",1,1.73,"5","d1","5.d1","bulk","ara","t1"
"stn5-d1-bulk-chon-t2",11.54,0.64,"5","d1","5.d1","bulk","chon","t2"
"stn5-d1-bulk-fuc-t1",2.9,3.1,"5","d1","5.d1","bulk","fuc","t1"
"stn5-d1-bulk-lam-t2",9.17,1.28,"5","d1","5.d1","bulk","lam","t2"
"stn5-d1-bulk-pul-t1",1.56,2.7,"5","d1","5.d1","bulk","pul","t1"
"stn5-d1-bulk-xyl-t2",3.87,6.7,"5","d1","5.d1","bulk","xyl","t2"
"stn5-d2-bulk-ara-t1",0.44,0.76,"5","d2","5.d2","bulk","ara","t1"
"stn5-d2-bulk-chon-t2",13.14,1.63,"5","d2","5.d2","bulk","chon","t2"
"stn5-d2-bulk-fuc-t1",1.08,1.87,"5","d2","5.d2","bulk","fuc","t1"
"stn5-d2-bulk-lam-t2",11.38,1.91,"5","d2","5.d2","bulk","lam","t2"
"stn5-d2-bulk-pul-t2",2.88,4.06,"5","d2","5.d2","bulk","pul","t2"
"stn5-d2-bulk-xyl-t1",0.93,1.26,"5","d2","5.d2","bulk","xyl","t1"
"stn5-d3-bulk-ara-t1",1.69,1.78,"5","d3","5.d3","bulk","ara","t1"
"stn5-d3-bulk-chon-t2",17.22,1.06,"5","d3","5.d3","bulk","chon","t2"
"stn5-d3-bulk-fuc-t2",1.41,2.45,"5","d3","5.d3","bulk","fuc","t2"
"stn5-d3-bulk-lam-t2",9.2,1.9,"5","d3","5.d3","bulk","lam","t2"
"stn5-d3-bulk-pul-t1",6.63,5.09,"5","d3","5.d3","bulk","pul","t1"
"stn5-d3-bulk-xyl-t5",2.89,0.14,"5","d3","5.d3","bulk","xyl","t5"
