"","mean.kcrate.nM.hr","sd.kcrate.nM.hr","stn","depthid","site","expt","substrate","timepoint"
"stn4-d1-GF-fuc-t0",0,0,"stn4","d1","4.d1","GF","fuc","t0"
"stn4-d1-GF-fuc-t1",0.05,0.08,"stn4","d1","4.d1","GF","fuc","t1"
"stn4-d1-GF-fuc-t2",0.01,0.02,"stn4","d1","4.d1","GF","fuc","t2"
"stn4-d1-GF-fuc-t3",0.04,0,"stn4","d1","4.d1","GF","fuc","t3"
"stn4-d1-GF-fuc-t4",0.01,0.01,"stn4","d1","4.d1","GF","fuc","t4"
"stn4-d1-GF-fuc-t5",0.01,0.01,"stn4","d1","4.d1","GF","fuc","t5"
"stn4-d1-GF-lam-t0",0,0,"stn4","d1","4.d1","GF","lam","t0"
"stn4-d1-GF-lam-t1",0.09,0.04,"stn4","d1","4.d1","GF","lam","t1"
"stn4-d1-GF-lam-t2",0.45,0.02,"stn4","d1","4.d1","GF","lam","t2"
"stn4-d1-GF-lam-t3",0.27,0,"stn4","d1","4.d1","GF","lam","t3"
"stn4-d1-GF-lam-t4",0.18,0,"stn4","d1","4.d1","GF","lam","t4"
"stn4-d1-GF-lam-t5",0.1,0,"stn4","d1","4.d1","GF","lam","t5"
"stn4-d2-GF-pul-t0",0,0,"stn4","d2","4.d2","GF","pul","t0"
"stn4-d2-GF-pul-t1",0,0,"stn4","d2","4.d2","GF","pul","t1"
"stn4-d2-GF-pul-t2",0.02,0,"stn4","d2","4.d2","GF","pul","t2"
"stn4-d2-GF-pul-t3",0.03,0,"stn4","d2","4.d2","GF","pul","t3"
"stn4-d2-GF-pul-t4",0.03,0,"stn4","d2","4.d2","GF","pul","t4"
"stn4-d2-GF-pul-t5",0.02,0,"stn4","d2","4.d2","GF","pul","t5"
"stn4-d2-GF-xyl-t0",0,0,"stn4","d2","4.d2","GF","xyl","t0"
"stn4-d2-GF-xyl-t1",0.01,0,"stn4","d2","4.d2","GF","xyl","t1"
"stn4-d2-GF-xyl-t2",0.03,0.01,"stn4","d2","4.d2","GF","xyl","t2"
"stn4-d2-GF-xyl-t3",0.01,0,"stn4","d2","4.d2","GF","xyl","t3"
"stn4-d2-GF-xyl-t4",0.02,0.01,"stn4","d2","4.d2","GF","xyl","t4"
"stn4-d2-GF-xyl-t5",0.04,0,"stn4","d2","4.d2","GF","xyl","t5"
"stn4-d1-GF-ara-t0",0,0,"stn4","d1","4.d1","GF","ara","t0"
"stn4-d1-GF-ara-t1",0.03,0.05,"stn4","d1","4.d1","GF","ara","t1"
"stn4-d1-GF-ara-t2",0,0,"stn4","d1","4.d1","GF","ara","t2"
"stn4-d1-GF-ara-t3",0,0,"stn4","d1","4.d1","GF","ara","t3"
"stn4-d1-GF-ara-t4",0,0,"stn4","d1","4.d1","GF","ara","t4"
"stn4-d1-GF-ara-t5",0,0,"stn4","d1","4.d1","GF","ara","t5"
"stn4-d1-GF-chon-t0",0,0,"stn4","d1","4.d1","GF","chon","t0"
"stn4-d1-GF-chon-t1",0,0,"stn4","d1","4.d1","GF","chon","t1"
"stn4-d1-GF-chon-t2",0.08,0.03,"stn4","d1","4.d1","GF","chon","t2"
"stn4-d1-GF-chon-t3",0.21,0.01,"stn4","d1","4.d1","GF","chon","t3"
"stn4-d1-GF-chon-t4",0.13,0,"stn4","d1","4.d1","GF","chon","t4"
"stn4-d1-GF-chon-t5",0.07,0.01,"stn4","d1","4.d1","GF","chon","t5"
"stn4-d1-GF-pul-t0",0,0,"stn4","d1","4.d1","GF","pul","t0"
"stn4-d1-GF-pul-t1",0.15,0.21,"stn4","d1","4.d1","GF","pul","t1"
"stn4-d1-GF-pul-t2",0.09,0.01,"stn4","d1","4.d1","GF","pul","t2"
"stn4-d1-GF-pul-t3",0.1,0.01,"stn4","d1","4.d1","GF","pul","t3"
"stn4-d1-GF-pul-t4",0.08,0.02,"stn4","d1","4.d1","GF","pul","t4"
"stn4-d1-GF-pul-t5",0.06,0.02,"stn4","d1","4.d1","GF","pul","t5"
"stn4-d1-GF-xyl-t0",0,0,"stn4","d1","4.d1","GF","xyl","t0"
