"","mean.kcrate.nM.hr","sd.kcrate.nM.hr","stn","depthid","site","expt","substrate","timepoint"
"stn1-d1-bulk-chon-t0",0,0,"1","d1","1.d1","bulk","chon","t0"
"stn1-d1-bulk-chon-t1",0,0,"1","d1","1.d1","bulk","chon","t1"
"stn1-d1-bulk-chon-t2",13.71,1.35,"1","d1","1.d1","bulk","chon","t2"
"stn1-d1-bulk-chon-t3",8.2,0.72,"1","d1","1.d1","bulk","chon","t3"
"stn1-d1-bulk-chon-t4",5.08,0.11,"1","d1","1.d1","bulk","chon","t4"
"stn1-d1-bulk-chon-t5",3.41,0.1,"1","d1","1.d1","bulk","chon","t5"
"stn1-d1-bulk-chon-t6",1.63,0.04,"1","d1","1.d1","bulk","chon","t6"
"stn1-d1-bulk-lam-t0",0,0,"1","d1","1.d1","bulk","lam","t0"
"stn1-d1-bulk-lam-t1",0,0,"1","d1","1.d1","bulk","lam","t1"
"stn1-d1-bulk-lam-t2",0.32,0.1,"1","d1","1.d1","bulk","lam","t2"
"stn1-d1-bulk-lam-t3",3.03,0.5,"1","d1","1.d1","bulk","lam","t3"
"stn1-d1-bulk-lam-t4",0.23,0.21,"1","d1","1.d1","bulk","lam","t4"
"stn1-d1-bulk-lam-t5",0.14,0.03,"1","d1","1.d1","bulk","lam","t5"
"stn1-d1-bulk-lam-t6",0.23,0.01,"1","d1","1.d1","bulk","lam","t6"
"stn1-d1-bulk-pul-t0",0,0,"1","d1","1.d1","bulk","pul","t0"
"stn1-d1-bulk-pul-t1",2.8,2.77,"1","d1","1.d1","bulk","pul","t1"
"stn1-d1-bulk-pul-t2",1.35,1.45,"1","d1","1.d1","bulk","pul","t2"
"stn1-d1-bulk-pul-t3",1.09,1.23,"1","d1","1.d1","bulk","pul","t3"
"stn1-d1-bulk-pul-t4",0.33,0.24,"1","d1","1.d1","bulk","pul","t4"
"stn1-d1-bulk-pul-t5",0.13,0.13,"1","d1","1.d1","bulk","pul","t5"
"stn1-d1-bulk-pul-t6",0.29,0.23,"1","d1","1.d1","bulk","pul","t6"
"stn1-d1-bulk-xyl-t0",0,0,"1","d1","1.d1","bulk","xyl","t0"
"stn1-d1-bulk-xyl-t1",5.36,9.29,"1","d1","1.d1","bulk","xyl","t1"
"stn1-d1-bulk-xyl-t2",1.78,3.09,"1","d1","1.d1","bulk","xyl","t2"
"stn1-d1-bulk-xyl-t3",1.1,1.91,"1","d1","1.d1","bulk","xyl","t3"
"stn1-d1-bulk-xyl-t4",1.44,1.53,"1","d1","1.d1","bulk","xyl","t4"
"stn1-d1-bulk-xyl-t5",2.16,0.69,"1","d1","1.d1","bulk","xyl","t5"
"stn1-d1-bulk-xyl-t6",0.95,0.45,"1","d1","1.d1","bulk","xyl","t6"
"stn1-d2-bulk-chon-t0",0,0,"1","d2","1.d2","bulk","chon","t0"
"stn1-d2-bulk-chon-t1",1.71,2.6,"1","d2","1.d2","bulk","chon","t1"
"stn1-d2-bulk-chon-t2",1.17,1.18,"1","d2","1.d2","bulk","chon","t2"
"stn1-d2-bulk-chon-t3",9.41,1.37,"1","d2","1.d2","bulk","chon","t3"
"stn1-d2-bulk-chon-t4",5.72,0.82,"1","d2","1.d2","bulk","chon","t4"
"stn1-d2-bulk-chon-t5",3.55,0.34,"1","d2","1.d2","bulk","chon","t5"
"stn1-d2-bulk-chon-t6",1.78,0.16,"1","d2","1.d2","bulk","chon","t6"
"stn1-d2-bulk-lam-t0",0,0,"1","d2","1.d2","bulk","lam","t0"
"stn1-d2-bulk-lam-t1",1.53,2.5,"1","d2","1.d2","bulk","lam","t1"
"stn1-d2-bulk-lam-t2",0.32,0.15,"1","d2","1.d2","bulk","lam","t2"
"stn1-d2-bulk-lam-t3",2.53,0.2,"1","d2","1.d2","bulk","lam","t3"
"stn1-d2-bulk-lam-t4",4,0.91,"1","d2","1.d2","bulk","lam","t4"
