"","live1.1","live1.2","live1.3","live2.1","live2.2","live2.3","mean","sd","stn","depthid","substrate"
"stn4-d1-GF-a",38.4358159050144,38.2826794289091,40.964610029349,55.6483357476519,49.121989910459,54.0113423052716,46.0774622211092,1.50615416702931,"stn4","d1","a"
"stn4-d1-GF-b",338.726546962216,316.673655632028,326.589560526569,189.985429082319,176.219417389886,172.891059355515,253.514278158089,11.0450714924334,"stn4","d1","b"
"stn4-d1-GF-L",653.213764071051,581.440641290529,644.925100182856,534.757824801837,476.543779734279,519.806540111071,568.447941698604,39.264826549069,"stn4","d1","L"
"stn4-d1-GF-p1",200.209413990561,187.410677137253,195.595134046663,219.618000263891,261.52869241526,257.640564405449,220.33374704318,6.48182818016197,"stn4","d1","p1"
"stn4-d1-GF-p2",494.141982499029,427.06165722672,449.907944011241,307.147494577615,312.202153939075,286.00007301295,379.410217544438,34.1036973054692,"stn4","d1","p2"
"stn4-d1-GF-p3",579.596724567498,562.935215794631,559.585058484486,395.320933787892,398.52025980827,392.230880640126,481.364845513817,10.7183348209896,"stn4","d1","p3"
"stn4-d1-GF-p4",81.0314457302707,78.4301240489108,83.620091943086,100.930198376831,87.8909929398441,87.5700073754218,86.5788100690607,2.59498652686306,"stn4","d1","p4"
"stn4-d2-GF-a",17.1238996463959,15.9270686916336,17.6868171371435,14.7171864103965,14.2317419177331,11.5771704754426,15.2106473797908,0.898702307695317,"stn4","d5","a"
"stn4-d2-GF-b",974.257715299001,990.881932563138,933.16711559623,1024.67744272539,1022.57638707611,1102.40656730042,1007.99452676005,29.7091514551276,"stn4","d5","b"
"stn4-d2-GF-L",130.919712223595,147.281452229526,144.678421166438,162.471618032843,166.916757510393,168.111329354755,153.396548419592,8.79189379021881,"stn4","d5","L"
"stn4-d2-GF-p1",130.618151818034,126.974928939229,124.770647960984,653.768651196163,625.498719676479,637.93946803729,383.261761271363,2.95311217006474,"stn4","d5","p1"
"stn4-d2-GF-p2",534.375424482624,523.707003270667,499.748667248977,331.846271972631,351.695066218636,325.266471721614,427.773150819192,17.7333461431745,"stn4","d5","p2"
"stn4-d2-GF-p3",74.4287129467998,62.9485273949747,63.685064923304,87.2403818797324,77.7964661249963,103.060985269863,78.1933564232783,6.42602936874367,"stn4","d5","p3"
"stn4-d2-GF-p4",14.6802695062336,13.9953919671573,18.3527099612497,17.2647399788038,19.4055040695846,16.6934948789408,16.7320183936616,2.34314945606735,"stn4","d5","p4"
"stn5-d1-GF-a",138.306325316229,146.396667465646,141.05126283121,14.9286075376153,13.4839035823622,13.6283739778875,77.9658567851584,4.11423684218679,"stn5","d1","a"
"stn5-d1-GF-b",1563.21783638235,1623.02858012983,1668.5367547203,362.235438380458,404.709734664899,389.540343134741,1001.87811456876,52.821071524628,"stn5","d1","b"
"stn5-d1-GF-L",937.641378728259,954.861143871702,996.089876501277,1374.83163538518,1387.23312328189,1419.8903577422,1178.42458591842,30.0348564109514,"stn5","d1","L"
"stn5-d1-GF-p1",722.026480513236,880.144625617957,887.396074644676,556.699784655367,713.965585422325,598.093472849552,726.387670617186,93.4532271491485,"stn5","d1","p1"
"stn5-d1-GF-p2",618.816696763069,679.219058835966,583.783299847334,893.438948833608,886.791787225783,745.992818623665,734.673768354904,48.2765787540517,"stn5","d1","p2"
"stn5-d1-GF-p3",899.051314865175,938.653468580458,915.420663494401,1256.29128952935,1072.85818069878,1109.62439625789,1031.98321890434,19.8999555510421,"stn5","d1","p3"
"stn5-d1-GF-p4",483.8523805051,494.842910458088,506.126651018152,542.160944291978,652.838185303753,596.453270473764,546.045723675139,11.1374568952627,"stn5","d1","p4"
"stn5-d5-GF-a",1.1425557539272,0.778559509328548,1.33224021356461,1.99939514880025,1.23007363372587,1.06772231748937,1.25842442947264,0.2813763146136,"stn5","d5","a"
"stn5-d5-GF-b",6.8149210924651,6.96864111710716,8.35212133888579,6.66120106782302,7.89096126495958,5.73888091997061,7.07112113353521,0.846623880246757,"stn5","d5","b"
"stn5-d5-GF-L",48.9733807856455,52.5097518270597,41.7398945645709,64.2440739190251,72.6027691078223,51.7060311358292,55.2959835566588,5.48967316130039,"stn5","d5","L"
"stn5-d5-GF-p1",15.0434806121622,24.968922807561,11.7879034713807,23.2000601234517,23.6829697015922,19.0299297902586,19.6188777510677,6.86600873912617,"stn5","d5","p1"
"stn5-d5-GF-p2",10.1815489764019,6.5193120855366,6.63437606608118,16.7470362981912,8.09241301118177,7.51816572744135,9.28214202747233,2.08197239895836,"stn5","d5","p2"
"stn5-d5-GF-p3",32.3095717874663,26.6835269488528,24.9153414281457,32.1069183891816,24.914850224386,25.1143224463699,27.6740885374004,3.86120670189228,"stn5","d5","p3"
"stn5-d5-GF-p4",24.6649850234011,15.324274512795,12.4451068255704,15.5484699026121,18.8606455542092,20.8888709023463,17.9553921201557,6.38832140946696,"stn5","d5","p4"
"stn8-d1-GF-a",247.516664855518,267.649376250985,278.814075078132,239.006323667982,280.401195671931,281.042123090451,265.7382931025,15.8614020748309,"stn8","d1","a"
"stn8-d1-GF-b",465.025785210428,474.288666433206,449.152675961867,453.774159786465,458.716448207681,410.871565830639,451.971550238381,12.7120322446839,"stn8","d1","b"
"stn8-d1-GF-L",1028.29536680221,1026.71010091354,1001.34077500227,1125.91667879287,965.235444502456,879.200339238137,1004.44978420858,15.1253968776108,"stn8","d1","L"
"stn8-d1-GF-p1",1176.90518043114,1229.95690873243,891.382009208685,573.355697642103,621.937752707153,642.064508610206,855.933676221953,182.103875928088,"stn8","d1","p1"
"stn8-d1-GF-p2",726.817909700787,830.578325135534,667.064736023354,631.21255278314,736.764691318813,687.830909012881,713.378187329085,82.7378988131234,"stn8","d1","p2"
"stn8-d1-GF-p3",521.324935332947,532.7275161043,545.623567457821,553.408620032928,618.099636882618,579.263163569499,558.407906563352,12.1569631069317,"stn8","d1","p3"
"stn8-d1-GF-p4",553.917528454713,512.194523721936,519.978006626854,608.107787149796,637.723068796447,632.147580940577,577.34474928172,22.1858921838714,"stn8","d1","p4"
"stn8-d5-GF-a",0.917064568527449,1.45251888200256,3.49004194439763,0.49293460387151,0.91544997873654,0.6889807329632,1.32616511841648,1.35759739542268,"stn8","d5","a"
"stn8-d5-GF-b",1.58695604246293,1.99957794847038,0.87717536714447,1.1674965480546,0.540504229970718,0.734111936579137,1.15097034544704,0.567719560895431,"stn8","d5","b"
"stn8-d5-GF-L",39.8384970582096,35.6108292653533,35.2524548693781,35.7962363308876,42.8605353633746,45.4198365401561,39.1297315712265,2.55060091390858,"stn8","d5","L"
"stn8-d5-GF-p1",22.4131636704094,6.14951022840769,7.43728305848841,17.9044750249949,8.00188510585953,8.54126881208037,11.7412643167067,9.04103406923069,"stn8","d5","p1"
"stn8-d5-GF-p2",29.4599913384524,30.4426264954481,9.98492997277443,24.2458393230614,27.9334855463506,28.1222366278807,25.0315182173279,11.5380597304638,"stn8","d5","p2"
"stn8-d5-GF-p3",28.7366932317167,29.3263099953527,24.5949478574571,44.9757215943068,40.2799959736397,18.9824686452327,31.1493562162843,2.57835510720409,"stn8","d5","p3"
"stn8-d5-GF-p4",4.87073994174035,0.112268306954845,7.65070308569283,34.3549954961451,32.6318021601704,32.4518049676601,18.6787189930606,3.81224444595042,"stn8","d5","p4"
