"","live1","live2","live3","mean","sd","stn","depthid","treatment","subt","substrate"
"stn4-d1-LV-amend1-subt0-a",8.64307562704373,8.09866733276304,9.73973039544816,8.82715778508498,0.835874796012658,"stn4","d1","amend1","subt0","a"
"stn4-d1-LV-amend1-subt0-b",31.8955031732749,23.2698096238106,27.6263349603107,27.5972159191321,4.3129205002222,"stn4","d1","amend1","subt0","b"
"stn4-d1-LV-amend1-subt0-L",68.3570301178419,152.048066062369,176.426144724692,132.277080301635,56.6824689956297,"stn4","d1","amend1","subt0","L"
"stn4-d1-LV-amend1-subt0-p1",40.3449862669629,32.6389835012802,43.1172175131092,38.7003957604508,5.42925919921354,"stn4","d1","amend1","subt0","p1"
"stn4-d1-LV-amend1-subt0-p2",71.7949768108082,45.9157789680948,45.9869130000397,54.5658895929809,14.9208696054302,"stn4","d1","amend1","subt0","p2"
"stn4-d1-LV-amend1-subt0-p3",55.8138707118316,15.0219220718087,14.591885772128,28.4758928519228,23.676359684428,"stn4","d1","amend1","subt0","p3"
"stn4-d1-LV-amend1-subt0-p4",14.2828642529478,18.7913129147081,17.7633709587773,16.9458493754778,2.36279146102709,"stn4","d1","amend1","subt0","p4"
"stn4-d1-LV-amend1-subt1-a",21.4611585952118,15.4354875330002,17.8212116062108,18.2392859114743,3.03451273370778,"stn4","d1","amend1","subt1","a"
"stn4-d1-LV-amend1-subt1-b",89.0455399282442,87.7289492937859,91.633535577466,89.469341599832,1.98649299125523,"stn4","d1","amend1","subt1","b"
"stn4-d1-LV-amend1-subt1-L",1236.7235118685,1136.23252019864,1178.72776558171,1183.89459921628,50.4443453625269,"stn4","d1","amend1","subt1","L"
"stn4-d1-LV-amend1-subt1-p1",396.098745117393,253.214048024524,319.53953508474,322.950776075552,71.5034026438836,"stn4","d1","amend1","subt1","p1"
"stn4-d1-LV-amend1-subt1-p2",615.932947538679,565.304757424639,521.376084076846,567.537929680055,47.3179712231696,"stn4","d1","amend1","subt1","p2"
"stn4-d1-LV-amend1-subt1-p3",52.2473140566991,44.6781766875617,38.3440899801259,45.0898602414622,6.96074869839912,"stn4","d1","amend1","subt1","p3"
"stn4-d1-LV-amend1-subt1-p4",11.2315471892152,6.57730643380483,8.70283980695932,8.83723114332646,2.33002897531312,"stn4","d1","amend1","subt1","p4"
"stn4-d1-LV-amend1-subt2-a",10.1945223729235,8.3981932935274,8.33547563083244,8.9760637657611,1.05568196410164,"stn4","d1","amend1","subt2","a"
"stn4-d1-LV-amend1-subt2-b",97.8061434371063,97.5111553180807,77.7265372044823,91.0146119865564,11.5087554956254,"stn4","d1","amend1","subt2","b"
"stn4-d1-LV-amend1-subt2-L",1538.44836598216,1483.02249668078,1353.6390846321,1458.36998243168,94.8389554053749,"stn4","d1","amend1","subt2","L"
"stn4-d1-LV-amend1-subt2-p1",568.34523497818,550.589023358335,396.09431618669,505.009524841068,94.7402383886712,"stn4","d1","amend1","subt2","p1"
"stn4-d1-LV-amend1-subt2-p2",431.313117592875,412.229035554555,395.443011258841,412.99505480209,17.9473179394418,"stn4","d1","amend1","subt2","p2"
"stn4-d1-LV-amend1-subt2-p3",270.060948842072,227.290399968281,218.848236380236,238.73319506353,27.4570327806659,"stn4","d1","amend1","subt2","p3"
"stn4-d1-LV-amend1-subt2-p4",231.543049720434,208.074331115303,200.232004555332,213.28312846369,16.2924542256587,"stn4","d1","amend1","subt2","p4"
"stn4-d1-LV-amend1-subt3-a",1.04240186229962,0.68616462029592,1.21313462707673,0.980567036557422,0.268871728278684,"stn4","d1","amend1","subt3","a"
"stn4-d1-LV-amend1-subt3-b",110.713902558741,142.857074568093,181.412666969897,144.994548032244,35.3978165558768,"stn4","d1","amend1","subt3","b"
"stn4-d1-LV-amend1-subt3-L",144.081323511476,120.618060683556,145.952463945677,136.883949380236,14.1177067171239,"stn4","d1","amend1","subt3","L"
"stn4-d1-LV-amend1-subt3-p1",104.605356217094,84.5053444030183,87.2873654516885,92.1326886906002,10.8908441683209,"stn4","d1","amend1","subt3","p1"
"stn4-d1-LV-amend1-subt3-p2",363.273180487986,331.075786696317,321.570735253154,338.639900812485,21.8560140788035,"stn4","d1","amend1","subt3","p2"
"stn4-d1-LV-amend1-subt3-p3",65.5898100810713,58.6198737586933,56.8524797403856,60.3540545267167,4.61960740460737,"stn4","d1","amend1","subt3","p3"
"stn4-d1-LV-amend1-subt3-p4",113.727237539636,110.777238364834,94.5217085149382,106.342061473136,10.3424456404235,"stn4","d1","amend1","subt3","p4"
"stn4-d1-LV-amend1-subt4-a",3.13786414094231,1.68377890007048,1.50351185954351,2.1083849668521,0.896099647856858,"stn4","d1","amend1","subt4","a"
"stn4-d1-LV-amend1-subt4-b",76.8265733594051,81.9718078334525,116.505191973923,91.7678577222602,21.5770743813219,"stn4","d1","amend1","subt4","b"
